Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,home_odds,draw_odds,away_odds,over25_odds,under25_odds
E0,31/12/2023,14:00,Tottenham,Bournemouth,3,1,H,1,0,H,S Hooper,1.75,4.2,4,1.3,3.5
E0,01/01/2024,20:00,Liverpool,Newcastle,4,2,H,0,0,D,A Taylor,1.45,4.5,7,1.36,3.1
E0,02/01/2024,19:30,West Ham,Brighton,0,0,D,0,0,D,S Barrott,2.45,3.75,2.75,1.7,2.1
E0,12/01/2024,19:45,Burnley,Luton,1,1,D,1,0,H,T Harrington,2,3.6,3.6,2.06,1.84
E0,13/01/2024,12:30,Chelsea,Fulham,1,0,H,1,0,H,A Taylor,1.6,4.2,5.25,1.7,2.1
E0,13/01/2024,17:30,Newcastle,Man City,2,3,A,2,1,H,C Kavanagh,5.5,4.33,1.55,1.67,2.15
E0,14/01/2024,14:00,Everton,Aston Villa,0,0,D,0,0,D,D Coote,2.8,3.5,2.45,1.7,2.1
E0,14/01/2024,16:30,Man United,Tottenham,2,2,D,2,1,H,J Brooks,2.2,3.75,3,1.48,2.6
E0,20/01/2024,12:30,Arsenal,Crystal Palace,5,0,H,2,0,H,P Tierney,1.3,5.75,9,1.7,2.1
E0,20/01/2024,17:30,Brentford,Nott'm Forest,3,2,H,1,1,D,D England,1.91,3.6,4,1.95,1.95
E0,21/01/2024,14:00,Sheffield United,West Ham,2,2,D,1,1,D,M Salisbury,3.4,3.3,2.2,2.03,1.87
E0,21/01/2024,16:30,Bournemouth,Liverpool,0,4,A,0,0,D,A Madley,4.2,4.5,1.7,1.4,2.88
E0,22/01/2024,19:45,Brighton,Wolves,0,0,D,0,0,D,C Pawson,1.65,4.33,5,1.62,2.25
E0,30/01/2024,19:30,Nott'm Forest,Arsenal,1,2,A,0,0,D,S Hooper,7.5,5,1.4,1.75,2.05
E0,30/01/2024,19:45,Fulham,Everton,0,0,D,0,0,D,T Bramall,2.45,3.2,3,2.15,1.67
E0,30/01/2024,19:45,Luton,Brighton,4,0,H,3,0,H,R Jones,4.2,4.2,1.75,1.67,2.15
E0,30/01/2024,20:00,Crystal Palace,Sheffield United,3,2,H,2,2,D,T Harrington,1.62,3.6,6.5,2.07,1.83
E0,30/01/2024,20:15,Aston Villa,Newcastle,1,3,A,0,2,A,J Brooks,1.85,4,3.8,1.57,2.35
E0,31/01/2024,19:30,Man City,Burnley,3,1,H,2,0,H,S Barrott,1.08,12,21,1.33,3.4
E0,31/01/2024,19:30,Tottenham,Brentford,3,2,H,0,1,A,D Coote,1.67,4.2,4.75,1.44,2.7
E0,31/01/2024,20:15,Liverpool,Chelsea,4,1,H,2,0,H,P Tierney,1.57,4.33,5.25,1.48,2.6
